Run,Volt,Counts,Time,Date / Time
1,720,9,10,   04/02/2024 03:12:36 PM
2,720,9,10,   04/02/2024 03:12:46 PM
3,720,6,10,   04/02/2024 03:12:57 PM
4,720,4,10,   04/02/2024 03:13:07 PM
5,720,10,10,   04/02/2024 03:13:17 PM
6,720,5,10,   04/02/2024 03:13:27 PM
7,720,5,10,   04/02/2024 03:13:37 PM
8,720,4,10,   04/02/2024 03:13:48 PM
9,720,9,10,   04/02/2024 03:13:58 PM
10,720,3,10,   04/02/2024 03:14:08 PM
11,720,10,10,   04/02/2024 03:14:18 PM
12,720,5,10,   04/02/2024 03:14:28 PM
13,720,7,10,   04/02/2024 03:14:39 PM
14,720,5,10,   04/02/2024 03:14:49 PM
15,720,7,10,   04/02/2024 03:14:59 PM
16,720,6,10,   04/02/2024 03:15:09 PM
17,720,8,10,   04/02/2024 03:15:20 PM
18,720,9,10,   04/02/2024 03:15:30 PM
19,720,13,10,   04/02/2024 03:15:40 PM
20,720,26,10,   04/02/2024 03:15:50 PM
21,720,19,10,   04/02/2024 03:16:00 PM
22,720,34,10,   04/02/2024 03:16:11 PM
23,720,35,10,   04/02/2024 03:16:21 PM
24,720,35,10,   04/02/2024 03:16:31 PM
25,720,32,10,   04/02/2024 03:16:41 PM
26,720,27,10,   04/02/2024 03:16:51 PM
27,720,37,10,   04/02/2024 03:17:02 PM
28,720,38,10,   04/02/2024 03:17:12 PM
29,720,35,10,   04/02/2024 03:17:22 PM
30,720,40,10,   04/02/2024 03:17:32 PM
31,720,29,10,   04/02/2024 03:17:42 PM
32,720,17,10,   04/02/2024 03:17:53 PM
33,720,19,10,   04/02/2024 03:18:03 PM
34,720,9,10,   04/02/2024 03:18:13 PM
35,720,7,10,   04/02/2024 03:18:23 PM
36,720,4,10,   04/02/2024 03:18:34 PM
37,720,5,10,   04/02/2024 03:18:44 PM
38,720,19,10,   04/02/2024 03:18:54 PM
39,720,43,10,   04/02/2024 03:19:04 PM
40,720,16,10,   04/02/2024 03:19:15 PM
41,720,3,10,   04/02/2024 03:19:25 PM
42,720,4,10,   04/02/2024 03:19:35 PM
43,720,2,10,   04/02/2024 03:19:45 PM
44,720,1,10,   04/02/2024 03:19:55 PM
45,720,2,10,   04/02/2024 03:20:06 PM
46,720,4,10,   04/02/2024 03:20:16 PM
47,720,2,10,   04/02/2024 03:20:26 PM
48,720,1,10,   04/02/2024 03:20:36 PM
49,720,3,10,   04/02/2024 03:20:46 PM
50,720,4,10,   04/02/2024 03:20:57 PM
